,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,-0.0008,-0.0005,100.0,518.67,642.52,1579.68,1404.68,14.62,21.61,554.75,2388.03,9057.07,1.3,47.19,521.88,2388.0,8140.58,8.4273,0.03,392,2388,50,39.01,23.2466,148
1,0.0001,-0.0002,100.0,518.67,642.46,1592.13,1404.88,14.62,21.61,554.19,2388.05,9084.82,1.3,47.24,522.15,2388.03,8162.09,8.3914,0.03,392,2388,50,38.88,23.4414,90
2,0.002,-0.0002,100.0,518.67,642.23,1585.87,1408.75,14.62,21.61,553.5,2388.1,9049.27,1.3,47.37,521.75,2388.12,8121.42,8.4199,0.03,393,2388,50,38.85,23.3315,201
3,0.0004,0.0005,100.0,518.67,642.66,1588.05,1406.38,14.62,21.61,553.49,2388.08,9049.08,1.3,47.22,521.93,2388.05,8131.32,8.4128,0.03,391,2388,50,38.8,23.3274,109
4,-0.0009,-0.0004,100.0,518.67,642.37,1589.87,1416.56,14.62,21.61,552.67,2388.12,9057.42,1.3,47.72,521.77,2388.11,8135.86,8.4821,0.03,393,2388,50,38.78,23.1934,86
5,-0.0022,0.0004,100.0,518.67,642.48,1589.61,1408.72,14.62,21.61,553.52,2388.09,9046.44,1.3,47.47,521.8,2388.07,8128.88,8.4349,0.03,392,2388,50,38.67,23.3019,132
6,0.0016,0.0002,100.0,518.67,643.02,1594.17,1418.31,14.62,21.61,551.98,2388.13,9103.38,1.3,48.03,520.38,2388.16,8169.02,8.4751,0.03,395,2388,50,38.37,23.1067,43
7,0.0005,-0.0002,100.0,518.67,642.31,1576.09,1399.97,14.62,21.61,554.85,2388.0,9063.07,1.3,47.33,522.17,2388.01,8146.68,8.4121,0.03,393,2388,50,39.02,23.5325,194
8,-0.0007,0.0002,100.0,518.67,643.4,1597.41,1420.73,14.62,21.61,552.27,2388.15,9103.88,1.3,47.79,520.77,2388.15,8169.77,8.4317,0.03,395,2388,50,38.57,23.1259,25
9,-0.0002,-0.0002,100.0,518.67,642.03,1582.81,1399.94,14.62,21.61,554.02,2388.01,9062.32,1.3,47.19,522.68,2388.09,8143.79,8.3908,0.03,393,2388,50,38.91,23.4165,226
10,-0.0013,-0.0002,100.0,518.67,641.75,1579.66,1403.48,14.62,21.61,554.44,2388.01,9067.73,1.3,47.21,521.9,2388.02,8147.63,8.3917,0.03,393,2388,50,39.07,23.4962,215
11,-0.0024,-0.0003,100.0,518.67,643.17,1610.14,1419.84,14.62,21.61,552.52,2388.09,9104.05,1.3,47.66,521.01,2388.08,8179.24,8.4818,0.03,394,2388,50,38.74,23.2412,31
12,-0.001,0.0,100.0,518.67,642.77,1605.53,1414.96,14.62,21.61,551.95,2388.24,9089.2,1.3,47.95,520.29,2388.18,8160.68,8.4582,0.03,395,2388,50,38.44,23.1681,24
13,-0.0008,-0.0,100.0,518.67,642.42,1580.2,1409.9,14.62,21.61,553.59,2388.02,9078.08,1.3,47.25,521.61,2388.07,8156.63,8.4277,0.03,393,2388,50,38.81,23.3346,83
14,0.0039,-0.0001,100.0,518.67,642.58,1592.17,1416.05,14.62,21.61,552.98,2388.09,9062.84,1.3,47.7,521.13,2388.1,8139.71,8.5019,0.03,393,2388,50,38.79,23.2668,88
15,0.0006,-0.0001,100.0,518.67,642.36,1592.32,1416.01,14.62,21.61,552.26,2388.15,9047.06,1.3,47.59,520.89,2388.21,8121.99,8.4877,0.03,393,2388,50,38.88,23.2703,41
16,0.0026,-0.0003,100.0,518.67,641.78,1584.18,1402.93,14.62,21.61,553.77,2388.03,9057.11,1.3,47.3,521.93,2388.08,8141.6,8.401,0.03,392,2388,50,38.85,23.3946,174
17,0.0025,0.0004,100.0,518.67,642.88,1592.66,1395.1,14.62,21.61,554.31,2388.09,9061.41,1.3,47.43,521.73,2388.04,8140.9,8.433,0.03,394,2388,50,38.93,23.3056,103
18,-0.0017,-0.0004,100.0,518.67,642.64,1588.2,1406.63,14.62,21.61,553.4,2388.13,9049.88,1.3,47.63,521.42,2388.09,8132.1,8.4644,0.03,393,2388,50,38.83,23.2531,143
